City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kutum,SD,2022-09-23 15:54:09,14.2,24.6667,84.87,21,100,5.12,overcast clouds
60,Esperance,AU,2022-09-23 15:52:59,-33.8667,121.9,60.1,58,87,13.6,overcast clouds
61,Alta Floresta,BR,2022-09-23 15:54:10,-9.8756,-56.0861,93.02,52,40,5.75,smoke
62,Khatanga,RU,2022-09-23 15:54:10,71.9667,102.5,23.0,92,95,8.61,overcast clouds
63,Meulaboh,ID,2022-09-23 15:54:10,4.1363,96.1285,77.38,87,100,4.5,light rain
64,Ponta Delgada,PT,2022-09-23 15:54:11,37.7333,-25.6667,79.5,88,40,6.91,light rain
65,Port Alfred,ZA,2022-09-23 15:54:11,-33.5906,26.891,62.19,78,74,1.01,broken clouds
66,Mwense,ZM,2022-09-23 15:54:12,-10.3845,28.698,87.42,11,8,7.54,clear sky
67,Itaqui,BR,2022-09-23 15:51:04,-29.1253,-56.5531,66.13,41,0,7.65,clear sky
68,Sinnamary,GF,2022-09-23 15:54:12,5.3833,-52.95,86.63,61,0,7.9,clear sky
69,Nikolskoye,RU,2022-09-23 15:54:12,59.7035,30.7861,51.69,90,24,4.88,few clouds
70,Yaan,NG,2022-09-23 15:54:13,7.3833,8.5667,77.23,87,100,3.2,overcast clouds
71,Turayf,SA,2022-09-23 15:54:13,31.6725,38.6637,86.25,35,0,9.22,clear sky
72,Puro,PH,2022-09-23 15:54:13,12.4841,123.3827,76.57,94,100,13.15,overcast clouds
73,Acapulco,MX,2022-09-23 15:54:02,16.8634,-99.8901,82.31,70,11,0.54,few clouds
74,Saskylakh,RU,2022-09-23 15:54:14,71.9167,114.0833,20.41,92,70,3.83,broken clouds
75,Ponta Do Sol,PT,2022-09-23 15:54:14,32.6667,-17.1,77.63,70,31,4.36,scattered clouds
76,Albury,AU,2022-09-23 15:54:14,-36.0833,146.9167,54.14,100,97,1.99,overcast clouds
77,Namibe,AO,2022-09-23 15:54:15,-15.1961,12.1522,68.7,63,1,13.04,clear sky
78,Cherskiy,RU,2022-09-23 15:54:15,68.75,161.3,32.65,85,19,9.22,few clouds
79,Lasa,IT,2022-09-23 15:54:15,46.6166,10.7002,63.48,65,98,2.48,overcast clouds
80,Lebu,CL,2022-09-23 15:54:15,-37.6167,-73.65,54.77,79,58,13.89,broken clouds
81,Santa Cruz Cabralia,BR,2022-09-23 15:54:16,-16.2781,-39.0247,86.23,66,40,11.5,scattered clouds
82,Creston,US,2022-09-23 15:54:16,41.0586,-94.3614,52.34,100,100,8.05,overcast clouds
83,Luwuk,ID,2022-09-23 15:54:17,-0.9516,122.7875,76.05,77,89,4.52,overcast clouds
84,Inirida,CO,2022-09-23 15:54:17,3.8653,-67.9239,93.6,49,48,0.49,scattered clouds
85,New Norfolk,AU,2022-09-23 15:54:17,-42.7826,147.0587,49.5,84,100,3.0,overcast clouds
86,Nouadhibou,MR,2022-09-23 15:54:18,20.931,-17.0347,85.98,66,20,3.44,few clouds
87,Leningradskiy,RU,2022-09-23 15:54:19,69.3833,178.4167,34.9,95,100,9.78,light snow
88,Vila Velha,BR,2022-09-23 15:54:07,-20.3297,-40.2925,80.55,80,40,11.99,scattered clouds
89,Quartucciu,IT,2022-09-23 15:54:20,39.2519,9.1794,76.03,54,20,10.36,few clouds
90,Ancud,CL,2022-09-23 15:46:33,-41.8697,-73.8203,49.23,66,14,2.59,few clouds
91,Salalah,OM,2022-09-23 15:47:57,17.0151,54.0924,80.69,89,75,9.22,broken clouds
92,Saravan,AM,2022-09-23 15:54:20,39.7196,45.6483,61.2,39,24,1.39,few clouds
93,Male,MV,2022-09-23 15:54:21,4.1748,73.5089,82.35,78,20,9.22,few clouds
94,Bayan,CN,2022-09-23 15:55:21,46.0833,127.4,53.64,96,100,5.5,moderate rain
95,Monticello,US,2022-09-23 15:55:22,45.3055,-93.7941,53.24,89,100,11.5,overcast clouds
96,Namatanai,PG,2022-09-23 15:55:23,-3.6667,152.4333,79.74,79,95,8.1,overcast clouds
97,Margate,GB,2022-09-23 15:55:23,51.3813,1.3862,60.31,92,100,3.0,overcast clouds
98,Codrington,AU,2022-09-23 15:55:23,-38.2667,141.9667,49.87,65,94,15.57,overcast clouds
99,Thompson,CA,2022-09-23 15:55:24,55.7435,-97.8558,50.16,81,20,6.91,few clouds
100,Tiksi,RU,2022-09-23 15:55:24,71.6872,128.8694,20.73,92,99,3.49,overcast clouds
101,Erzin,TR,2022-09-23 15:55:24,36.9559,36.2,70.56,73,5,4.72,clear sky
102,Cairns,AU,2022-09-23 15:55:15,-16.9167,145.7667,73.35,93,75,0.0,broken clouds
103,Pangnirtung,CA,2022-09-23 15:55:25,66.1451,-65.7125,35.6,60,20,3.44,few clouds
104,Kang,BW,2022-09-23 15:55:25,-23.6752,22.7876,82.6,11,0,4.72,clear sky
105,Hithadhoo,MV,2022-09-23 15:55:25,-0.6,73.0833,82.78,72,85,5.91,overcast clouds
106,Sirnak,TR,2022-09-23 15:55:25,37.5228,42.4594,65.71,31,0,3.62,clear sky
107,Kashi,CN,2022-09-23 15:55:26,39.4547,75.9797,72.61,40,22,4.47,few clouds
108,Severo-Kurilsk,RU,2022-09-23 15:55:26,50.6789,156.125,50.22,74,99,4.79,overcast clouds
109,Kenai,US,2022-09-23 15:55:26,60.5544,-151.2583,44.69,92,100,3.44,overcast clouds
110,Saint-Philippe,RE,2022-09-23 15:55:27,-21.3585,55.7679,72.99,83,42,14.61,light rain
111,Hambantota,LK,2022-09-23 15:55:27,6.1241,81.1185,82.74,74,20,9.22,few clouds
112,Kochki,RU,2022-09-23 15:55:27,54.3358,80.4806,52.05,37,100,2.24,overcast clouds
113,Oktyabrskiy,RU,2022-09-23 15:55:28,54.4815,53.471,67.96,25,100,4.63,overcast clouds
114,Caravelas,BR,2022-09-23 15:55:28,-17.7125,-39.2481,88.48,54,29,13.35,scattered clouds
115,Kodiak,US,2022-09-23 15:55:28,57.79,-152.4072,46.74,76,79,13.33,broken clouds
116,Talnakh,RU,2022-09-23 15:55:28,69.4865,88.3972,31.21,89,94,4.5,overcast clouds
117,Hobart,AU,2022-09-23 15:55:29,-42.8794,147.3294,49.86,89,75,18.41,light intensity shower rain
118,Makakilo City,US,2022-09-23 15:55:29,21.3469,-158.0858,76.69,87,100,4.61,light rain
119,Eureka,US,2022-09-23 15:55:29,40.8021,-124.1637,58.19,88,41,1.99,scattered clouds
120,Miri,MY,2022-09-23 15:50:48,4.4148,114.0089,77.14,94,20,0.0,few clouds
121,Butaritari,KI,2022-09-23 15:55:30,3.0707,172.7902,81.45,70,100,13.65,overcast clouds
122,Sept-Iles,CA,2022-09-23 15:53:19,50.2001,-66.3821,55.92,65,75,17.27,broken clouds
123,Los Llanos De Aridane,ES,2022-09-23 15:55:30,28.6585,-17.9182,74.12,75,75,9.22,broken clouds
124,Lima,PE,2022-09-23 15:54:11,-12.0432,-77.0282,62.91,80,100,8.05,overcast clouds
125,Kapaa,US,2022-09-23 15:55:31,22.0752,-159.319,73.38,79,35,1.01,scattered clouds
126,Dikson,RU,2022-09-23 15:55:31,73.5069,80.5464,32.99,73,51,22.3,broken clouds
127,Zyryanka,RU,2022-09-23 15:55:31,65.75,150.85,32.83,98,100,9.75,light snow
128,Vaini,TO,2022-09-23 15:55:31,-21.2,-175.2,75.36,94,75,9.22,broken clouds
129,Mantua,IT,2022-09-23 15:55:32,45.1667,10.7833,72.09,48,72,1.99,broken clouds
130,Puerto Penasco,MX,2022-09-23 15:55:32,31.3167,-113.5333,85.98,69,20,0.0,few clouds
131,Curup,ID,2022-09-23 15:55:33,-3.4667,102.5333,66.38,94,99,1.52,overcast clouds
132,Havelock,US,2022-09-23 15:55:33,34.8791,-76.9013,66.97,53,0,19.57,clear sky
133,Moskovskiy,RU,2022-09-23 15:55:33,55.5991,37.355,51.87,72,20,7.0,few clouds
134,Grand Gaube,MU,2022-09-23 15:55:34,-20.0064,57.6608,72.37,69,1,7.0,clear sky
135,Sassandra,CI,2022-09-23 15:55:34,4.95,-6.0833,78.75,81,99,8.52,light rain
136,Ostrovnoy,RU,2022-09-23 15:55:34,68.0531,39.5131,44.1,74,100,11.01,overcast clouds
137,Bisira,PA,2022-09-23 15:55:35,8.5196,-81.7115,70.7,74,85,1.19,overcast clouds
138,Upernavik,GL,2022-09-23 15:55:35,72.7868,-56.1549,28.04,69,39,11.95,scattered clouds
139,Port Lincoln,AU,2022-09-23 15:55:35,-34.7333,135.8667,50.58,69,26,10.85,scattered clouds
140,Yellowknife,CA,2022-09-23 15:55:36,62.456,-114.3525,52.32,62,20,9.22,few clouds
141,Kaitangata,NZ,2022-09-23 15:56:36,-46.2817,169.8464,43.32,96,33,3.78,scattered clouds
142,Shakawe,BW,2022-09-23 15:56:37,-18.3667,21.85,88.47,5,0,2.95,clear sky
143,Foshan,CN,2022-09-23 15:56:37,23.0268,113.1315,86.95,64,95,5.26,overcast clouds
144,Vao,NC,2022-09-23 15:56:39,-22.6667,167.4833,72.25,77,76,13.44,broken clouds
145,Fuerte Olimpo,PY,2022-09-23 15:56:39,-21.0415,-57.8738,73.47,22,96,8.84,overcast clouds
146,Yen Bai,VN,2022-09-23 15:56:39,21.7,104.8667,75.92,86,66,2.04,broken clouds
147,Murgab,TM,2022-09-23 15:56:40,37.4966,61.9714,82.27,26,0,4.61,clear sky
