City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Nueva Armenia,HN,2022-09-23 15:34:44,15.7956,-86.4985,84.38,58,76,2.95,broken clouds
60,Adrar,MR,2022-09-23 15:34:44,20.5022,-10.0711,100.69,21,16,10.6,few clouds
61,Bethel,US,2022-09-23 15:34:44,41.3712,-73.414,57.72,58,20,13.0,few clouds
62,Pevek,RU,2022-09-23 15:34:45,69.7008,170.3133,32.77,90,17,14.9,few clouds
63,Pullman,US,2022-09-23 15:30:21,46.7313,-117.1796,51.91,86,0,8.01,clear sky
64,Mount Gambier,AU,2022-09-23 15:34:45,-37.8333,140.7667,43.02,84,37,6.38,scattered clouds
65,Ribeira Grande,PT,2022-09-23 15:34:46,38.5167,-28.7,75.6,83,75,26.46,broken clouds
66,Torbay,CA,2022-09-23 15:34:46,47.6666,-52.7314,69.17,82,75,17.27,broken clouds
67,Lorengau,PG,2022-09-23 15:34:46,-2.0226,147.2712,80.92,74,64,3.24,broken clouds
68,Russkaya Polyana,UA,2022-09-23 15:34:47,49.417,31.9201,50.49,82,82,9.75,light rain
69,Tendo,JP,2022-09-23 15:31:32,38.3536,140.3697,71.64,99,100,2.04,moderate rain
70,Bridgetown,BB,2022-09-23 15:30:49,13.1,-59.6167,86.49,70,40,11.5,scattered clouds
71,Cabo San Lucas,MX,2022-09-23 15:30:03,22.8909,-109.9124,86.5,80,0,0.0,clear sky
72,Tuktoyaktuk,CA,2022-09-23 15:34:47,69.4541,-133.0374,35.6,93,100,14.97,overcast clouds
73,Ponta Do Sol,PT,2022-09-23 15:34:48,32.6667,-17.1,79.43,70,31,4.36,scattered clouds
74,Pontianak,ID,2022-09-23 15:34:48,-0.0333,109.3333,76.98,88,40,2.3,scattered clouds
75,Kabompo,ZM,2022-09-23 15:34:48,-13.5927,24.2008,91.4,13,12,7.56,few clouds
76,Hobart,AU,2022-09-23 15:32:33,-42.8794,147.3294,49.86,89,100,21.85,overcast clouds
77,Victoria,HK,2022-09-23 15:34:31,22.2855,114.1577,82.18,88,29,21.0,light rain
78,Bubaque,GW,2022-09-23 15:34:49,11.2833,-15.8333,81.73,77,31,14.65,scattered clouds
79,Carnarvon,AU,2022-09-23 15:34:49,-24.8667,113.6333,65.97,73,0,21.45,clear sky
80,Cockburn Town,TC,2022-09-23 15:32:20,21.4612,-71.1419,82.99,75,66,5.55,broken clouds
81,Saint George,US,2022-09-23 15:34:50,37.1041,-113.5841,71.44,36,0,3.44,clear sky
82,Portland,US,2022-09-23 15:32:25,45.5234,-122.6762,58.15,89,20,4.61,few clouds
83,Port Moresby,PG,2022-09-23 15:32:09,-9.4431,147.1797,72.82,94,40,3.44,scattered clouds
84,Ixtapa,MX,2022-09-23 15:34:50,20.7,-105.2,85.23,83,20,2.3,few clouds
85,Port Alfred,ZA,2022-09-23 15:34:51,-33.5906,26.891,62.19,78,74,1.01,broken clouds
86,Leningradskiy,RU,2022-09-23 15:34:51,69.3833,178.4167,34.9,95,100,9.78,light snow
87,Neryungri,RU,2022-09-23 15:34:51,56.6709,124.6491,39.99,84,83,9.33,broken clouds
88,Cherskiy,RU,2022-09-23 15:34:52,68.75,161.3,32.65,85,19,9.22,few clouds
89,Huarmey,PE,2022-09-23 15:34:52,-10.0681,-78.1522,66.72,72,35,10.6,scattered clouds
90,Sept-Iles,CA,2022-09-23 15:31:12,50.2001,-66.3821,55.92,65,75,17.27,broken clouds
91,Arinos,BR,2022-09-23 15:35:52,-15.9169,-46.1056,92.03,38,84,4.21,broken clouds
92,Srednekolymsk,RU,2022-09-23 15:35:53,67.45,153.6833,33.48,99,99,6.46,overcast clouds
93,Dingle,PH,2022-09-23 15:35:53,10.9995,122.6711,74.97,91,100,3.58,overcast clouds
94,Pokhara,NP,2022-09-23 15:33:38,28.2333,83.9833,70.74,90,66,3.51,broken clouds
95,Necochea,AR,2022-09-23 15:35:53,-38.5473,-58.7368,60.04,52,7,5.12,clear sky
96,Khatanga,RU,2022-09-23 15:35:54,71.9667,102.5,23.0,92,95,8.61,overcast clouds
97,Carballo,ES,2022-09-23 15:35:54,43.213,-8.691,72.91,73,30,6.8,scattered clouds
98,San Carlos De Bariloche,AR,2022-09-23 15:35:54,-41.1456,-71.3082,47.95,66,40,19.57,scattered clouds
99,Yamada,JP,2022-09-23 15:35:56,39.4667,141.95,72.09,99,100,10.22,moderate rain
100,Marsh Harbour,BS,2022-09-23 15:35:57,26.5412,-77.0636,83.98,70,0,11.59,clear sky
101,Nicoya,CR,2022-09-23 15:35:57,10.1483,-85.452,84.07,72,87,0.31,overcast clouds
102,Mar Del Plata,AR,2022-09-23 15:35:11,-38.0023,-57.5575,57.22,79,20,8.05,few clouds
103,Rocha,UY,2022-09-23 15:35:58,-34.4833,-54.3333,60.98,41,0,8.72,clear sky
104,Hithadhoo,MV,2022-09-23 15:35:58,-0.6,73.0833,82.78,72,85,5.91,overcast clouds
105,Grand Gaube,MU,2022-09-23 15:35:58,-20.0064,57.6608,72.37,69,1,8.01,clear sky
106,Okhotsk,RU,2022-09-23 15:35:59,59.3833,143.3,37.51,59,71,7.07,broken clouds
107,Hofn,IS,2022-09-23 15:35:59,64.2539,-15.2082,51.82,76,0,8.05,clear sky
108,Shwebo,MM,2022-09-23 15:36:00,22.5667,95.7,81.54,76,99,4.72,overcast clouds
109,Egvekinot,RU,2022-09-23 15:36:00,66.3167,-179.1667,33.15,87,100,13.42,overcast clouds
110,East London,ZA,2022-09-23 15:36:00,-33.0153,27.9116,61.74,82,40,11.5,scattered clouds
111,Kushmurun,KZ,2022-09-23 15:36:00,52.4503,64.6311,72.5,37,9,7.38,clear sky
112,Nushki,PK,2022-09-23 15:36:02,29.5542,66.0215,83.21,9,0,3.76,clear sky
113,Macapa,BR,2022-09-23 15:36:02,0.0389,-51.0664,91.38,55,40,9.22,scattered clouds
114,Avera,US,2022-09-23 15:36:02,33.194,-82.5271,69.55,27,3,11.59,clear sky
115,Balakhninskiy,RU,2022-09-23 15:36:03,58.0106,114.2769,35.94,87,79,8.93,broken clouds
116,Hayrabolu,TR,2022-09-23 15:36:03,41.2131,27.1069,64.83,36,59,6.15,broken clouds
117,Tahta,EG,2022-09-23 15:36:04,26.7693,31.5021,97.81,16,0,8.99,clear sky
118,Aklavik,CA,2022-09-23 15:36:04,68.2191,-135.0107,35.6,93,100,8.05,light intensity drizzle
119,Bambous Virieux,MU,2022-09-23 15:36:04,-20.3428,57.7575,72.21,78,75,17.27,light rain
120,Komsomolskiy,UZ,2022-09-23 15:36:05,40.4272,71.7189,74.12,31,0,2.3,clear sky
121,Bandarbeyla,SO,2022-09-23 15:36:06,9.4942,50.8122,78.03,85,42,24.92,scattered clouds
122,Laguna,US,2022-09-23 15:36:07,38.421,-121.4238,71.29,74,0,3.44,clear sky
123,Marawi,PH,2022-09-23 15:36:08,7.9986,124.2928,69.44,94,100,0.56,overcast clouds
124,Kirksville,US,2022-09-23 15:33:45,40.1948,-92.5833,55.35,78,100,11.5,overcast clouds
125,Teguldet,RU,2022-09-23 15:36:09,57.3064,88.1667,41.32,71,7,7.43,clear sky
126,Butaritari,KI,2022-09-23 15:36:09,3.0707,172.7902,81.45,70,100,13.65,overcast clouds
127,Batticaloa,LK,2022-09-23 15:36:09,7.7102,81.6924,82.74,72,32,7.14,scattered clouds
128,Esperance,AU,2022-09-23 15:36:10,-33.8667,121.9,60.1,58,87,13.6,overcast clouds
129,Longyearbyen,SJ,2022-09-23 15:36:11,78.2186,15.6401,44.44,76,75,16.11,light rain
130,Quatre Cocos,MU,2022-09-23 15:36:11,-20.2078,57.7625,72.09,80,13,18.25,light rain
131,Lebu,CL,2022-09-23 15:36:12,-37.6167,-73.65,54.77,79,58,13.89,broken clouds
132,Marrakesh,MA,2022-09-23 15:36:12,31.6315,-8.0083,89.67,40,20,6.91,few clouds
133,Mount Pleasant,US,2022-09-23 15:32:53,32.7941,-79.8626,72.99,48,0,10.36,clear sky
134,Arraial Do Cabo,BR,2022-09-23 15:36:12,-22.9661,-42.0278,75.16,73,0,23.02,clear sky
135,Ucluelet,CA,2022-09-23 15:36:13,48.9329,-125.5528,58.08,90,100,7.45,overcast clouds
136,Yarmouth,US,2022-09-23 15:37:13,41.7057,-70.2286,58.64,69,100,14.97,overcast clouds
137,Barrow,US,2022-09-23 15:37:10,71.2906,-156.7887,32.02,80,100,14.97,overcast clouds
138,Ilulissat,GL,2022-09-23 15:37:15,69.2167,-51.1,33.82,93,75,2.3,light rain
139,Kenai,US,2022-09-23 15:33:12,60.5544,-151.2583,44.69,96,100,3.44,overcast clouds
140,Tasiilaq,GL,2022-09-23 15:37:16,65.6145,-37.6368,44.76,69,85,4.92,overcast clouds
141,Saint Anthony,US,2022-09-23 15:37:16,45.0205,-93.218,55.83,79,100,11.5,moderate rain
142,Petropavlovsk-Kamchatskiy,RU,2022-09-23 15:37:16,53.0452,158.6483,37.99,87,0,4.47,clear sky
143,Waling,NP,2022-09-23 15:37:17,27.9833,83.7667,70.93,95,56,1.21,broken clouds
144,Opuwo,NA,2022-09-23 15:37:17,-18.0607,13.84,89.83,10,0,9.1,clear sky
145,Camapua,BR,2022-09-23 15:37:17,-19.5314,-54.0439,78.08,22,76,8.19,broken clouds
146,Tiksi,RU,2022-09-23 15:37:18,71.6872,128.8694,20.73,92,99,3.49,overcast clouds
147,Mahebourg,MU,2022-09-23 15:37:18,-20.4081,57.7,72.25,78,75,17.27,broken clouds
148,Georgetown,MY,2022-09-23 15:34:27,5.4112,100.3354,79.9,93,20,3.44,light rain
